driver,lap,time
813,38,1:30.249
813,39,1:30.749
813,40,1:30.376
813,41,1:31.688
813,42,1:30.576
813,43,1:32.280
813,44,1:31.025
813,45,1:30.598
813,46,1:30.717
813,47,1:30.823
813,48,1:30.321
813,49,1:30.524
813,50,1:31.492
813,51,1:30.931
813,52,1:33.575
813,53,1:35.210
813,54,1:48.760
813,55,1:29.883
813,56,1:29.682
813,57,1:29.868
813,58,1:29.922
813,59,1:29.921
813,60,1:29.759
813,61,1:29.862
813,62,1:29.922
813,63,1:29.927
813,64,1:29.391
813,65,1:30.819
814,1,1:42.808
814,2,1:33.684
814,3,1:33.054
814,4,1:32.731
814,5,1:32.980
814,6,1:32.437
814,7,1:32.699
814,8,1:32.592
814,9,1:32.162
814,10,1:33.032
814,11,1:34.210
814,12,1:32.115
814,13,1:32.789
814,14,1:33.181
814,15,1:36.301
814,16,1:48.257
814,17,1:30.589
814,18,1:31.016
814,19,1:31.566
814,20,1:32.495
814,21,1:31.895
814,22,1:32.123
814,23,1:30.106
814,24,1:31.711
814,25,1:31.608
814,26,1:31.334
814,27,1:31.839
814,28,1:32.219
814,29,1:31.941
814,30,1:32.997
814,31,1:32.770
814,32,1:37.279
814,33,1:47.136
814,34,1:29.596
814,35,1:30.203
814,36,1:32.186
814,37,1:30.083
814,38,1:30.028
814,39,1:30.140
814,40,1:32.269
814,41,1:30.238
814,42,1:29.469
814,43,1:29.734
814,44,1:30.310
814,45,1:29.958
814,46,1:30.227
814,47,1:30.440
814,48,1:30.862
814,49,1:32.650
814,50,1:31.558
814,51,1:34.555
814,52,1:50.047
814,53,1:30.623
814,54,1:29.552
814,55,1:30.550
814,56,1:30.434
814,57,1:30.643
814,58,1:30.469
814,59,1:31.399
814,60,1:30.398
814,61,1:30.194
814,62,1:30.991
814,63,1:30.442
814,64,1:30.707
814,65,1:30.900
15,1,1:43.553
15,2,1:33.968
15,3,1:33.376
15,4,1:33.154
15,5,1:32.951
15,6,1:32.905
15,7,1:32.831
15,8,1:32.895
15,9,1:33.068
15,10,1:33.074
15,11,1:33.419
15,12,1:34.549
15,13,1:34.939
15,14,1:35.454
15,15,1:37.064
15,16,1:51.014
15,17,1:31.752
15,18,1:31.883
15,19,1:31.765
15,20,1:31.684
15,21,1:31.686
15,22,1:31.581
15,23,1:31.581
15,24,1:31.549
15,25,1:31.678
15,26,1:32.111
15,27,1:32.266
15,28,1:34.446
15,29,1:35.725
15,30,1:50.819
15,31,1:31.090
15,32,1:32.500
15,33,1:30.988
15,34,1:30.783
15,35,1:31.138
15,36,1:30.816
15,37,1:32.934
15,38,1:31.223
15,39,1:32.797
15,40,1:31.876
15,41,1:32.643
15,42,1:31.590
15,43,1:34.702
15,44,1:52.849
15,45,1:32.233
15,46,1:32.426
15,47,1:31.867
15,48,1:31.974
15,49,1:33.557
15,50,1:33.815
15,51,1:32.776
15,52,1:32.334
15,53,1:37.051
15,54,1:32.833
15,55,1:33.328
15,56,1:32.579
15,57,1:31.784
15,58,1:32.081
15,59,1:35.228
15,60,1:33.392
15,61,1:33.951
15,62,1:32.720
15,63,1:33.077
15,64,1:35.528
5,1,1:44.276
5,2,1:34.461
5,3,1:33.388
5,4,1:33.223
5,5,1:32.942
5,6,1:32.657
5,7,1:32.854
5,8,1:32.774
5,9,1:32.972
5,10,1:33.168
5,11,1:33.450
5,12,1:34.655
5,13,1:35.645
5,14,1:34.949
5,15,1:35.938
5,16,1:39.751
5,17,1:50.402
5,18,1:33.240
5,19,1:32.219
5,20,1:32.390
5,21,1:32.947
5,22,1:32.623
5,23,1:32.426
5,24,1:32.660
5,25,1:34.460
5,26,1:32.918
5,27,1:34.048
5,28,1:37.716
5,29,1:48.818
5,30,1:31.679
5,31,1:30.889
5,32,1:32.322
5,33,1:30.716
5,34,1:30.618
5,35,1:30.751
5,36,1:31.471
5,37,1:31.305
5,38,1:31.689
5,39,1:32.251
5,40,1:33.087
5,41,1:37.836
5,42,1:51.376
5,43,1:30.747
5,44,1:32.063
5,45,1:37.618
5,46,1:33.747
5,47,1:31.651
5,48,1:31.392
2,1,1:45.164
2,2,1:34.838
2,3,1:34.520
2,4,1:33.910
