driver,lap,time
822,42,1:29.863
852,42,1:30.349
848,42,1:30.355
825,42,1:30.356
839,42,1:30.742
815,42,1:30.958
840,42,1:31.640
858,42,1:50.027
844,43,1:28.211
857,43,1:28.332
847,43,1:28.524
858,43,1:28.580
1,43,1:28.711
855,43,1:28.746
4,43,1:28.769
846,43,1:28.848
807,43,1:29.485
832,43,1:29.612
852,43,1:29.659
842,43,1:29.717
817,43,1:30.055
825,43,1:30.057
839,43,1:31.081
830,43,1:31.391
822,43,1:31.418
848,43,1:32.175
815,43,1:48.079
840,43,1:48.240
815,44,1:27.493
840,44,1:28.050
844,44,1:28.199
847,44,1:28.360
857,44,1:28.489
846,44,1:28.539
858,44,1:28.645
817,44,1:28.818
4,44,1:28.986
1,44,1:28.990
855,44,1:29.083
807,44,1:29.542
852,44,1:29.732
842,44,1:29.770
832,44,1:29.809
822,44,1:29.999
825,44,1:30.084
839,44,1:30.431
830,44,1:48.170
848,44,1:49.385
830,45,1:26.993
815,45,1:27.837
848,45,1:27.845
857,45,1:28.149
846,45,1:28.164
840,45,1:28.177
847,45,1:28.187
844,45,1:28.395
817,45,1:28.705
858,45,1:28.791
1,45,1:29.023
852,45,1:29.315
807,45,1:29.500
842,45,1:29.503
855,45,1:29.890
825,45,1:30.110
832,45,1:30.132
839,45,1:30.163
4,45,1:30.177
822,45,1:30.495
830,46,1:27.902
815,46,1:27.914
846,46,1:28.187
847,46,1:28.192
840,46,1:28.239
844,46,1:28.446
4,46,1:28.554
848,46,1:28.694
817,46,1:28.708
857,46,1:28.806
858,46,1:28.918
855,46,1:29.324
852,46,1:29.410
842,46,1:29.428
807,46,1:29.456
1,46,1:29.729
825,46,1:29.934
822,46,1:29.998
839,46,1:30.113
832,46,1:30.712
830,47,1:27.962
844,47,1:28.221
847,47,1:28.261
815,47,1:28.401
840,47,1:28.535
846,47,1:28.568
817,47,1:28.571
4,47,1:28.625
848,47,1:28.740
857,47,1:29.266
852,47,1:29.335
855,47,1:29.409
858,47,1:29.458
1,47,1:29.528
842,47,1:29.726
807,47,1:30.035
839,47,1:30.177
822,47,1:30.448
832,47,1:31.102
825,47,1:31.923
830,48,1:27.968
815,48,1:27.970
844,48,1:28.419
847,48,1:28.530
4,48,1:28.592
840,48,1:28.639
817,48,1:28.702
1,48,1:28.814
848,48,1:28.920
857,48,1:29.061
855,48,1:29.383
842,48,1:29.505
846,48,1:29.763
858,48,1:29.931
807,48,1:30.121
839,48,1:30.359
822,48,1:30.492
832,48,1:30.565
825,48,1:30.657
852,48,1:30.932
830,49,1:27.901
815,49,1:27.926
844,49,1:28.396
847,49,1:28.428
4,49,1:28.500
848,49,1:28.761
817,49,1:28.791
846,49,1:28.797
1,49,1:28.809
858,49,1:28.896
840,49,1:29.030
857,49,1:29.445
842,49,1:29.518
855,49,1:29.766
852,49,1:29.951
832,49,1:30.033
839,49,1:30.258
825,49,1:30.553
822,49,1:30.688
807,49,1:30.705
815,50,1:27.758
830,50,1:28.040
844,50,1:28.258
847,50,1:28.400
1,50,1:28.585
4,50,1:28.619
846,50,1:28.634
857,50,1:28.761
840,50,1:28.810
858,50,1:28.980
848,50,1:29.011
817,50,1:29.065
842,50,1:29.549
852,50,1:29.643
855,50,1:29.704
832,50,1:29.873
807,50,1:30.200
825,50,1:30.509
839,50,1:30.986
822,50,1:31.586
830,51,1:27.849
815,51,1:27.866
4,51,1:28.491
846,51,1:28.526
1,51,1:28.531
857,51,1:28.556
848,51,1:28.675
847,51,1:28.692
844,51,1:28.695
840,51,1:28.801
858,51,1:28.837
817,51,1:29.332
842,51,1:29.445
852,51,1:29.529
855,51,1:29.702
832,51,1:29.718
807,51,1:30.079
839,51,1:30.310
825,51,1:30.432
822,51,1:31.017
830,52,1:27.851
815,52,1:27.886
1,52,1:28.372
857,52,1:28.397
848,52,1:28.402
844,52,1:28.603
4,52,1:28.604
858,52,1:28.640
817,52,1:28.743
846,52,1:28.839
840,52,1:28.864
847,52,1:28.877
852,52,1:29.454
842,52,1:29.587
855,52,1:29.608
832,52,1:29.645
807,52,1:30.105
822,52,1:30.924
839,52,1:30.984
825,52,1:31.497
830,53,1:27.683
815,53,1:28.307
1,53,1:28.474
844,53,1:28.545
846,53,1:28.557
848,53,1:28.608
4,53,1:28.714
817,53,1:28.742
857,53,1:28.788
847,53,1:28.825
858,53,1:28.943
840,53,1:29.205
852,53,1:29.413
842,53,1:29.532
832,53,1:29.775
855,53,1:29.781
807,53,1:30.090
839,53,1:30.283
825,53,1:30.445
822,53,1:31.713
830,54,1:27.513
815,54,1:28.024
857,54,1:28.536
846,54,1:28.590
1,54,1:28.634
817,54,1:28.760
844,54,1:28.778
848,54,1:28.812
858,54,1:28.923
4,54,1:29.174
840,54,1:29.301
852,54,1:29.385
842,54,1:29.435
807,54,1:29.667
832,54,1:29.734
847,54,1:30.038
825,54,1:30.207
839,54,1:30.272
855,54,1:30.289
822,54,1:30.855
830,55,1:27.930
815,55,1:28.187
846,55,1:28.458
844,55,1:28.552
1,55,1:28.584
857,55,1:28.729
848,55,1:28.742
817,55,1:28.871
4,55,1:28.952
847,55,1:28.976
858,55,1:29.025
852,55,1:29.256
842,55,1:29.307
840,55,1:29.458
807,55,1:29.576
832,55,1:29.654
825,55,1:30.252
839,55,1:30.287
855,55,1:30.416
822,55,1:30.530
830,56,1:27.727
815,56,1:27.896
847,56,1:28.466
846,56,1:28.572
844,56,1:28.657
857,56,1:28.706
848,56,1:28.743
817,56,1:28.929
4,56,1:29.108
1,56,1:29.138
858,56,1:29.430
842,56,1:29.496
807,56,1:29.507
840,56,1:29.655
822,56,1:30.130
855,56,1:30.200
839,56,1:30.208
825,56,1:30.429
852,56,1:31.027
832,56,1:31.454
830,57,1:27.980
815,57,1:27.991
847,57,1:28.557
848,57,1:28.749
857,57,1:28.786
846,57,1:28.800
844,57,1:29.031
4,57,1:29.038
817,57,1:29.060
858,57,1:29.265
807,57,1:29.437
840,57,1:29.486
842,57,1:29.642
1,57,1:29.666
852,57,1:29.828
839,57,1:30.477
822,57,1:30.550
855,57,1:30.991
825,57,1:31.256
832,57,1:50.847
815,58,1:27.948
857,58,1:28.467
830,58,1:28.545
846,58,1:28.588
848,58,1:28.670
4,58,1:28.706
847,58,1:28.820
817,58,1:29.020
807,58,1:29.217
858,58,1:29.379
842,58,1:29.547
840,58,1:29.683
855,58,1:30.327
852,58,1:30.380
839,58,1:30.639
1,58,1:30.894
844,58,1:31.284
